,continent,country,year,metric,value
428,Africa,Benin,1967,gdpPercap,1035.831411
2132,Africa,Benin,1967,lifeExp,44.885
3836,Africa,Benin,1967,pop,2427334.0
570,Africa,Benin,1972,gdpPercap,1085.796879
2274,Africa,Benin,1972,lifeExp,47.014
3978,Africa,Benin,1972,pop,2761407.0
712,Africa,Benin,1977,gdpPercap,1029.161251
2416,Africa,Benin,1977,lifeExp,49.19
4120,Africa,Benin,1977,pop,3168267.0
854,Africa,Benin,1982,gdpPercap,1277.897616
2558,Africa,Benin,1982,lifeExp,50.904
4262,Africa,Benin,1982,pop,3641603.0
996,Africa,Benin,1987,gdpPercap,1225.85601
2700,Africa,Benin,1987,lifeExp,52.337
4404,Africa,Benin,1987,pop,4243788.0
1138,Africa,Benin,1992,gdpPercap,1191.207681
2842,Africa,Benin,1992,lifeExp,53.919
4546,Africa,Benin,1992,pop,4981671.0
1280,Africa,Benin,1997,gdpPercap,1232.975292
2984,Africa,Benin,1997,lifeExp,54.777
4688,Africa,Benin,1997,pop,6066080.0
1422,Africa,Benin,2002,gdpPercap,1372.877931
3126,Africa,Benin,2002,lifeExp,54.406
4830,Africa,Benin,2002,pop,7026113.0
1564,Africa,Benin,2007,gdpPercap,1441.284873
3268,Africa,Benin,2007,lifeExp,56.728
4972,Africa,Benin,2007,pop,8078314.0
3,Africa,Botswana,1952,gdpPercap,851.2411407
1707,Africa,Botswana,1952,lifeExp,47.622
3411,Africa,Botswana,1952,pop,442308.0
145,Africa,Botswana,1957,gdpPercap,918.2325349
1849,Africa,Botswana,1957,lifeExp,49.618
3553,Africa,Botswana,1957,pop,474639.0
287,Africa,Botswana,1962,gdpPercap,983.6539764
1991,Africa,Botswana,1962,lifeExp,51.52
3695,Africa,Botswana,1962,pop,512764.0
429,Africa,Botswana,1967,gdpPercap,1214.709294
2133,Africa,Botswana,1967,lifeExp,53.298
3837,Africa,Botswana,1967,pop,553541.0
571,Africa,Botswana,1972,gdpPercap,2263.611114
2275,Africa,Botswana,1972,lifeExp,56.024
3979,Africa,Botswana,1972,pop,619351.0
713,Africa,Botswana,1977,gdpPercap,3214.857818
2417,Africa,Botswana,1977,lifeExp,59.319
4121,Africa,Botswana,1977,pop,781472.0
855,Africa,Botswana,1982,gdpPercap,4551.14215
2559,Africa,Botswana,1982,lifeExp,61.484
4263,Africa,Botswana,1982,pop,970347.0
997,Africa,Botswana,1987,gdpPercap,6205.88385
2701,Africa,Botswana,1987,lifeExp,63.622
4405,Africa,Botswana,1987,pop,1151184.0
1139,Africa,Botswana,1992,gdpPercap,7954.111645
2843,Africa,Botswana,1992,lifeExp,62.745
4547,Africa,Botswana,1992,pop,1342614.0
1281,Africa,Botswana,1997,gdpPercap,8647.142313
2985,Africa,Botswana,1997,lifeExp,52.556
4689,Africa,Botswana,1997,pop,1536536.0
1423,Africa,Botswana,2002,gdpPercap,11003.60508
3127,Africa,Botswana,2002,lifeExp,46.634
4831,Africa,Botswana,2002,pop,1630347.0
1565,Africa,Botswana,2007,gdpPercap,12569.85177
3269,Africa,Botswana,2007,lifeExp,50.728
4973,Africa,Botswana,2007,pop,1639131.0
4,Africa,Burkina Faso,1952,gdpPercap,543.2552413
1708,Africa,Burkina Faso,1952,lifeExp,31.975
3412,Africa,Burkina Faso,1952,pop,4469979.0
146,Africa,Burkina Faso,1957,gdpPercap,617.1834648
1850,Africa,Burkina Faso,1957,lifeExp,34.906
3554,Africa,Burkina Faso,1957,pop,4713416.0
288,Africa,Burkina Faso,1962,gdpPercap,722.5120206
1992,Africa,Burkina Faso,1962,lifeExp,37.814
3696,Africa,Burkina Faso,1962,pop,4919632.0
430,Africa,Burkina Faso,1967,gdpPercap,794.8265597
2134,Africa,Burkina Faso,1967,lifeExp,40.697
3838,Africa,Burkina Faso,1967,pop,5127935.0
572,Africa,Burkina Faso,1972,gdpPercap,854.7359763
2276,Africa,Burkina Faso,1972,lifeExp,43.591
3980,Africa,Burkina Faso,1972,pop,5433886.0
714,Africa,Burkina Faso,1977,gdpPercap,743.3870368
2418,Africa,Burkina Faso,1977,lifeExp,46.137
4122,Africa,Burkina Faso,1977,pop,5889574.0
856,Africa,Burkina Faso,1982,gdpPercap,807.1985855
2560,Africa,Burkina Faso,1982,lifeExp,48.122
4264,Africa,Burkina Faso,1982,pop,6634596.0
998,Africa,Burkina Faso,1987,gdpPercap,912.0631417
2702,Africa,Burkina Faso,1987,lifeExp,49.557
4406,Africa,Burkina Faso,1987,pop,7586551.0
1140,Africa,Burkina Faso,1992,gdpPercap,931.7527731
2844,Africa,Burkina Faso,1992,lifeExp,50.26
4548,Africa,Burkina Faso,1992,pop,8878303.0
1282,Africa,Burkina Faso,1997,gdpPercap,946.2949618
2986,Africa,Burkina Faso,1997,lifeExp,50.324
4690,Africa,Burkina Faso,1997,pop,10352843.0
1424,Africa,Burkina Faso,2002,gdpPercap,1037.645221
3128,Africa,Burkina Faso,2002,lifeExp,50.65
4832,Africa,Burkina Faso,2002,pop,12251209.0
1566,Africa,Burkina Faso,2007,gdpPercap,1217.032994
3270,Africa,Burkina Faso,2007,lifeExp,52.295
4974,Africa,Burkina Faso,2007,pop,14326203.0
5,Africa,Burundi,1952,gdpPercap,339.2964587
1709,Africa,Burundi,1952,lifeExp,39.031
3413,Africa,Burundi,1952,pop,2445618.0
147,Africa,Burundi,1957,gdpPercap,379.5646281
1851,Africa,Burundi,1957,lifeExp,40.533
3555,Africa,Burundi,1957,pop,2667518.0
289,Africa,Burundi,1962,gdpPercap,355.2032273
1993,Africa,Burundi,1962,lifeExp,42.045
3697,Africa,Burundi,1962,pop,2961915.0
431,Africa,Burundi,1967,gdpPercap,412.9775136
2135,Africa,Burundi,1967,lifeExp,43.548
3839,Africa,Burundi,1967,pop,3330989.0
573,Africa,Burundi,1972,gdpPercap,464.0995039
2277,Africa,Burundi,1972,lifeExp,44.057
3981,Africa,Burundi,1972,pop,3529983.0
715,Africa,Burundi,1977,gdpPercap,556.1032651
2419,Africa,Burundi,1977,lifeExp,45.91
4123,Africa,Burundi,1977,pop,3834415.0
857,Africa,Burundi,1982,gdpPercap,559.603231
2561,Africa,Burundi,1982,lifeExp,47.471
4265,Africa,Burundi,1982,pop,4580410.0
999,Africa,Burundi,1987,gdpPercap,621.8188189
2703,Africa,Burundi,1987,lifeExp,48.211
4407,Africa,Burundi,1987,pop,5126023.0
1141,Africa,Burundi,1992,gdpPercap,631.6998778
2845,Africa,Burundi,1992,lifeExp,44.736
4549,Africa,Burundi,1992,pop,5809236.0
1283,Africa,Burundi,1997,gdpPercap,463.1151478
2987,Africa,Burundi,1997,lifeExp,45.326
4691,Africa,Burundi,1997,pop,6121610.0
1425,Africa,Burundi,2002,gdpPercap,446.4035126
3129,Africa,Burundi,2002,lifeExp,47.36
4833,Africa,Burundi,2002,pop,7021078.0
1567,Africa,Burundi,2007,gdpPercap,430.0706916
3271,Africa,Burundi,2007,lifeExp,49.58
4975,Africa,Burundi,2007,pop,8390505.0
6,Africa,Cameroon,1952,gdpPercap,1172.667655
1710,Africa,Cameroon,1952,lifeExp,38.523
3414,Africa,Cameroon,1952,pop,5009067.0
148,Africa,Cameroon,1957,gdpPercap,1313.048099
1852,Africa,Cameroon,1957,lifeExp,40.428
3556,Africa,Cameroon,1957,pop,5359923.0
290,Africa,Cameroon,1962,gdpPercap,1399.607441
1994,Africa,Cameroon,1962,lifeExp,42.643
3698,Africa,Cameroon,1962,pop,5793633.0
432,Africa,Cameroon,1967,gdpPercap,1508.453148
2136,Africa,Cameroon,1967,lifeExp,44.799
3840,Africa,Cameroon,1967,pop,6335506.0
574,Africa,Cameroon,1972,gdpPercap,1684.146528
2278,Africa,Cameroon,1972,lifeExp,47.049
3982,Africa,Cameroon,1972,pop,7021028.0
716,Africa,Cameroon,1977,gdpPercap,1783.432873
2420,Africa,Cameroon,1977,lifeExp,49.355
4124,Africa,Cameroon,1977,pop,7959865.0
858,Africa,Cameroon,1982,gdpPercap,2367.983282
2562,Africa,Cameroon,1982,lifeExp,52.961
4266,Africa,Cameroon,1982,pop,9250831.0
1000,Africa,Cameroon,1987,gdpPercap,2602.664206
2704,Africa,Cameroon,1987,lifeExp,54.985
4408,Africa,Cameroon,1987,pop,10780667.0
1142,Africa,Cameroon,1992,gdpPercap,1793.163278
2846,Africa,Cameroon,1992,lifeExp,54.314
4550,Africa,Cameroon,1992,pop,12467171.0
1284,Africa,Cameroon,1997,gdpPercap,1694.337469
2988,Africa,Cameroon,1997,lifeExp,52.199
4692,Africa,Cameroon,1997,pop,14195809.0
1426,Africa,Cameroon,2002,gdpPercap,1934.011449
3130,Africa,Cameroon,2002,lifeExp,49.856
4834,Africa,Cameroon,2002,pop,15929988.0
1568,Africa,Cameroon,2007,gdpPercap,2042.09524
3272,Africa,Cameroon,2007,lifeExp,50.43
4976,Africa,Cameroon,2007,pop,17696293.0
7,Africa,Central African Republic,1952,gdpPercap,1071.310713
1711,Africa,Central African Republic,1952,lifeExp,35.463
3415,Africa,Central African Republic,1952,pop,1291695.0
149,Africa,Central African Republic,1957,gdpPercap,1190.844328
1853,Africa,Central African Republic,1957,lifeExp,37.464
3557,Africa,Central African Republic,1957,pop,1392284.0
291,Africa,Central African Republic,1962,gdpPercap,1193.068753
1995,Africa,Central African Republic,1962,lifeExp,39.475
3699,Africa,Central African Republic,1962,pop,1523478.0
433,Africa,Central African Republic,1967,gdpPercap,1136.056615
2137,Africa,Central African Republic,1967,lifeExp,41.478
3841,Africa,Central African Republic,1967,pop,1733638.0
575,Africa,Central African Republic,1972,gdpPercap,1070.013275
2279,Africa,Central African Republic,1972,lifeExp,43.457
3983,Africa,Central African Republic,1972,pop,1927260.0
717,Africa,Central African Republic,1977,gdpPercap,1109.374338
2421,Africa,Central African Republic,1977,lifeExp,46.775
4125,Africa,Central African Republic,1977,pop,2167533.0
859,Africa,Central African Republic,1982,gdpPercap,956.7529907
2563,Africa,Central African Republic,1982,lifeExp,48.295
4267,Africa,Central African Republic,1982,pop,2476971.0
1001,Africa,Central African Republic,1987,gdpPercap,844.8763504
2705,Africa,Central African Republic,1987,lifeExp,50.485
4409,Africa,Central African Republic,1987,pop,2840009.0
1143,Africa,Central African Republic,1992,gdpPercap,747.9055252
2847,Africa,Central African Republic,1992,lifeExp,49.396
4551,Africa,Central African Republic,1992,pop,3265124.0
1285,Africa,Central African Republic,1997,gdpPercap,740.5063317
2989,Africa,Central African Republic,1997,lifeExp,46.066
4693,Africa,Central African Republic,1997,pop,3696513.0
1427,Africa,Central African Republic,2002,gdpPercap,738.6906068
3131,Africa,Central African Republic,2002,lifeExp,43.308
4835,Africa,Central African Republic,2002,pop,4048013.0
1569,Africa,Central African Republic,2007,gdpPercap,706.016537
3273,Africa,Central African Republic,2007,lifeExp,44.741
4977,Africa,Central African Republic,2007,pop,4369038.0
8,Africa,Chad,1952,gdpPercap,1178.665927
1712,Africa,Chad,1952,lifeExp,38.092
3416,Africa,Chad,1952,pop,2682462.0
150,Africa,Chad,1957,gdpPercap,1308.495577
1854,Africa,Chad,1957,lifeExp,39.881
3558,Africa,Chad,1957,pop,2894855.0
292,Africa,Chad,1962,gdpPercap,1389.817618
1996,Africa,Chad,1962,lifeExp,41.716
3700,Africa,Chad,1962,pop,3150417.0
434,Africa,Chad,1967,gdpPercap,1196.810565
2138,Africa,Chad,1967,lifeExp,43.601
3842,Africa,Chad,1967,pop,3495967.0
576,Africa,Chad,1972,gdpPercap,1104.103987
2280,Africa,Chad,1972,lifeExp,45.569
3984,Africa,Chad,1972,pop,3899068.0
718,Africa,Chad,1977,gdpPercap,1133.98495
2422,Africa,Chad,1977,lifeExp,47.383
4126,Africa,Chad,1977,pop,4388260.0
860,Africa,Chad,1982,gdpPercap,797.9081006
2564,Africa,Chad,1982,lifeExp,49.517
4268,Africa,Chad,1982,pop,4875118.0
1002,Africa,Chad,1987,gdpPercap,952.386129
2706,Africa,Chad,1987,lifeExp,51.051
4410,Africa,Chad,1987,pop,5498955.0
1144,Africa,Chad,1992,gdpPercap,1058.0643
2848,Africa,Chad,1992,lifeExp,51.724
4552,Africa,Chad,1992,pop,6429417.0
1286,Africa,Chad,1997,gdpPercap,1004.961353
2990,Africa,Chad,1997,lifeExp,51.573
4694,Africa,Chad,1997,pop,7562011.0
1428,Africa,Chad,2002,gdpPercap,1156.18186
3132,Africa,Chad,2002,lifeExp,50.525
4836,Africa,Chad,2002,pop,8835739.0
1570,Africa,Chad,2007,gdpPercap,1704.063724
3274,Africa,Chad,2007,lifeExp,50.651
4978,Africa,Chad,2007,pop,10238807.0
9,Africa,Comoros,1952,gdpPercap,1102.990936
1713,Africa,Comoros,1952,lifeExp,40.715
3417,Africa,Comoros,1952,pop,153936.0
151,Africa,Comoros,1957,gdpPercap,1211.148548
1855,Africa,Comoros,1957,lifeExp,42.46
3559,Africa,Comoros,1957,pop,170928.0
293,Africa,Comoros,1962,gdpPercap,1406.648278
1997,Africa,Comoros,1962,lifeExp,44.467
3701,Africa,Comoros,1962,pop,191689.0
435,Africa,Comoros,1967,gdpPercap,1876.029643
2139,Africa,Comoros,1967,lifeExp,46.472
3843,Africa,Comoros,1967,pop,217378.0
577,Africa,Comoros,1972,gdpPercap,1937.577675
2281,Africa,Comoros,1972,lifeExp,48.944
3985,Africa,Comoros,1972,pop,250027.0
719,Africa,Comoros,1977,gdpPercap,1172.603047
2423,Africa,Comoros,1977,lifeExp,50.939
4127,Africa,Comoros,1977,pop,304739.0
861,Africa,Comoros,1982,gdpPercap,1267.100083
2565,Africa,Comoros,1982,lifeExp,52.933
4269,Africa,Comoros,1982,pop,348643.0
1003,Africa,Comoros,1987,gdpPercap,1315.980812
2707,Africa,Comoros,1987,lifeExp,54.926
4411,Africa,Comoros,1987,pop,395114.0
1145,Africa,Comoros,1992,gdpPercap,1246.90737
2849,Africa,Comoros,1992,lifeExp,57.939
4553,Africa,Comoros,1992,pop,454429.0
1287,Africa,Comoros,1997,gdpPercap,1173.618235
2991,Africa,Comoros,1997,lifeExp,60.66
4695,Africa,Comoros,1997,pop,527982.0
1429,Africa,Comoros,2002,gdpPercap,1075.811558
3133,Africa,Comoros,2002,lifeExp,62.974
4837,Africa,Comoros,2002,pop,614382.0
1571,Africa,Comoros,2007,gdpPercap,986.1478792
3275,Africa,Comoros,2007,lifeExp,65.152
4979,Africa,Comoros,2007,pop,710960.0
10,Africa,Congo Dem. Rep.,1952,gdpPercap,780.5423257
1714,Africa,Congo Dem. Rep.,1952,lifeExp,39.143
3418,Africa,Congo Dem. Rep.,1952,pop,14100005.0
152,Africa,Congo Dem. Rep.,1957,gdpPercap,905.8602303
1856,Africa,Congo Dem. Rep.,1957,lifeExp,40.652
3560,Africa,Congo Dem. Rep.,1957,pop,15577932.0
294,Africa,Congo Dem. Rep.,1962,gdpPercap,896.3146335
1998,Africa,Congo Dem. Rep.,1962,lifeExp,42.122
3702,Africa,Congo Dem. Rep.,1962,pop,17486434.0
436,Africa,Congo Dem. Rep.,1967,gdpPercap,861.5932424
2140,Africa,Congo Dem. Rep.,1967,lifeExp,44.056
3844,Africa,Congo Dem. Rep.,1967,pop,19941073.0
578,Africa,Congo Dem. Rep.,1972,gdpPercap,904.8960685
2282,Africa,Congo Dem. Rep.,1972,lifeExp,45.989
3986,Africa,Congo Dem. Rep.,1972,pop,23007669.0
720,Africa,Congo Dem. Rep.,1977,gdpPercap,795.757282
2424,Africa,Congo Dem. Rep.,1977,lifeExp,47.804
4128,Africa,Congo Dem. Rep.,1977,pop,26480870.0
862,Africa,Congo Dem. Rep.,1982,gdpPercap,673.7478181
2566,Africa,Congo Dem. Rep.,1982,lifeExp,47.784
4270,Africa,Congo Dem. Rep.,1982,pop,30646495.0
1004,Africa,Congo Dem. Rep.,1987,gdpPercap,672.774812
2708,Africa,Congo Dem. Rep.,1987,lifeExp,47.412
4412,Africa,Congo Dem. Rep.,1987,pop,35481645.0
1146,Africa,Congo Dem. Rep.,1992,gdpPercap,457.7191807
2850,Africa,Congo Dem. Rep.,1992,lifeExp,45.548
4554,Africa,Congo Dem. Rep.,1992,pop,41672143.0
1288,Africa,Congo Dem. Rep.,1997,gdpPercap,312.188423
2992,Africa,Congo Dem. Rep.,1997,lifeExp,42.587
4696,Africa,Congo Dem. Rep.,1997,pop,47798986.0
1430,Africa,Congo Dem. Rep.,2002,gdpPercap,241.1658765
3134,Africa,Congo Dem. Rep.,2002,lifeExp,44.966
4838,Africa,Congo Dem. Rep.,2002,pop,55379852.0
1572,Africa,Congo Dem. Rep.,2007,gdpPercap,277.5518587
3276,Africa,Congo Dem. Rep.,2007,lifeExp,46.462
4980,Africa,Congo Dem. Rep.,2007,pop,64606759.0
11,Africa,Congo Rep.,1952,gdpPercap,2125.621418
1715,Africa,Congo Rep.,1952,lifeExp,42.111
3419,Africa,Congo Rep.,1952,pop,854885.0
153,Africa,Congo Rep.,1957,gdpPercap,2315.056572
1857,Africa,Congo Rep.,1957,lifeExp,45.053
3561,Africa,Congo Rep.,1957,pop,940458.0
295,Africa,Congo Rep.,1962,gdpPercap,2464.783157
1999,Africa,Congo Rep.,1962,lifeExp,48.435
3703,Africa,Congo Rep.,1962,pop,1047924.0
437,Africa,Congo Rep.,1967,gdpPercap,2677.939642
2141,Africa,Congo Rep.,1967,lifeExp,52.04
3845,Africa,Congo Rep.,1967,pop,1179760.0
579,Africa,Congo Rep.,1972,gdpPercap,3213.152683
2283,Africa,Congo Rep.,1972,lifeExp,54.907
3987,Africa,Congo Rep.,1972,pop,1340458.0
721,Africa,Congo Rep.,1977,gdpPercap,3259.178978
2425,Africa,Congo Rep.,1977,lifeExp,55.625
4129,Africa,Congo Rep.,1977,pop,1536769.0
863,Africa,Congo Rep.,1982,gdpPercap,4879.507522
2567,Africa,Congo Rep.,1982,lifeExp,56.695
4271,Africa,Congo Rep.,1982,pop,1774735.0
1005,Africa,Congo Rep.,1987,gdpPercap,4201.194937
2709,Africa,Congo Rep.,1987,lifeExp,57.47
4413,Africa,Congo Rep.,1987,pop,2064095.0
1147,Africa,Congo Rep.,1992,gdpPercap,4016.239529
2851,Africa,Congo Rep.,1992,lifeExp,56.433
4555,Africa,Congo Rep.,1992,pop,2409073.0
1289,Africa,Congo Rep.,1997,gdpPercap,3484.164376
2993,Africa,Congo Rep.,1997,lifeExp,52.962
4697,Africa,Congo Rep.,1997,pop,2800947.0
1431,Africa,Congo Rep.,2002,gdpPercap,3484.06197
3135,Africa,Congo Rep.,2002,lifeExp,52.97
4839,Africa,Congo Rep.,2002,pop,3328795.0
1573,Africa,Congo Rep.,2007,gdpPercap,3632.557798
3277,Africa,Congo Rep.,2007,lifeExp,55.322
4981,Africa,Congo Rep.,2007,pop,3800610.0
12,Africa,Cote d'Ivoire,1952,gdpPercap,1388.594732
1716,Africa,Cote d'Ivoire,1952,lifeExp,40.477
3420,Africa,Cote d'Ivoire,1952,pop,2977019.0
154,Africa,Cote d'Ivoire,1957,gdpPercap,1500.895925
1858,Africa,Cote d'Ivoire,1957,lifeExp,42.469
3562,Africa,Cote d'Ivoire,1957,pop,3300000.0
296,Africa,Cote d'Ivoire,1962,gdpPercap,1728.869428
2000,Africa,Cote d'Ivoire,1962,lifeExp,44.93
3704,Africa,Cote d'Ivoire,1962,pop,3832408.0
438,Africa,Cote d'Ivoire,1967,gdpPercap,2052.050473
2142,Africa,Cote d'Ivoire,1967,lifeExp,47.35
3846,Africa,Cote d'Ivoire,1967,pop,4744870.0
580,Africa,Cote d'Ivoire,1972,gdpPercap,2378.201111
2284,Africa,Cote d'Ivoire,1972,lifeExp,49.801
3988,Africa,Cote d'Ivoire,1972,pop,6071696.0
722,Africa,Cote d'Ivoire,1977,gdpPercap,2517.736547
2426,Africa,Cote d'Ivoire,1977,lifeExp,52.374
4130,Africa,Cote d'Ivoire,1977,pop,7459574.0
864,Africa,Cote d'Ivoire,1982,gdpPercap,2602.710169
2568,Africa,Cote d'Ivoire,1982,lifeExp,53.983
4272,Africa,Cote d'Ivoire,1982,pop,9025951.0
1006,Africa,Cote d'Ivoire,1987,gdpPercap,2156.956069
2710,Africa,Cote d'Ivoire,1987,lifeExp,54.655
4414,Africa,Cote d'Ivoire,1987,pop,10761098.0
1148,Africa,Cote d'Ivoire,1992,gdpPercap,1648.073791
2852,Africa,Cote d'Ivoire,1992,lifeExp,52.044
4556,Africa,Cote d'Ivoire,1992,pop,12772596.0
1290,Africa,Cote d'Ivoire,1997,gdpPercap,1786.265407
2994,Africa,Cote d'Ivoire,1997,lifeExp,47.991
4698,Africa,Cote d'Ivoire,1997,pop,14625967.0
1432,Africa,Cote d'Ivoire,2002,gdpPercap,1648.800823
3136,Africa,Cote d'Ivoire,2002,lifeExp,46.832
4840,Africa,Cote d'Ivoire,2002,pop,16252726.0
1574,Africa,Cote d'Ivoire,2007,gdpPercap,1544.750112
3278,Africa,Cote d'Ivoire,2007,lifeExp,48.328
4982,Africa,Cote d'Ivoire,2007,pop,18013409.0
13,Africa,Djibouti,1952,gdpPercap,2669.529475
1717,Africa,Djibouti,1952,lifeExp,34.812
3421,Africa,Djibouti,1952,pop,63149.0
155,Africa,Djibouti,1957,gdpPercap,2864.969076
1859,Africa,Djibouti,1957,lifeExp,37.328
3563,Africa,Djibouti,1957,pop,71851.0
297,Africa,Djibouti,1962,gdpPercap,3020.989263
2001,Africa,Djibouti,1962,lifeExp,39.693
3705,Africa,Djibouti,1962,pop,89898.0
439,Africa,Djibouti,1967,gdpPercap,3020.050513
2143,Africa,Djibouti,1967,lifeExp,42.074
3847,Africa,Djibouti,1967,pop,127617.0
581,Africa,Djibouti,1972,gdpPercap,3694.212352
2285,Africa,Djibouti,1972,lifeExp,44.366
3989,Africa,Djibouti,1972,pop,178848.0
723,Africa,Djibouti,1977,gdpPercap,3081.761022
2427,Africa,Djibouti,1977,lifeExp,46.519
4131,Africa,Djibouti,1977,pop,228694.0
865,Africa,Djibouti,1982,gdpPercap,2879.468067
2569,Africa,Djibouti,1982,lifeExp,48.812
4273,Africa,Djibouti,1982,pop,305991.0
1007,Africa,Djibouti,1987,gdpPercap,2880.102568
2711,Africa,Djibouti,1987,lifeExp,50.04
4415,Africa,Djibouti,1987,pop,311025.0
1149,Africa,Djibouti,1992,gdpPercap,2377.156192
2853,Africa,Djibouti,1992,lifeExp,51.604
4557,Africa,Djibouti,1992,pop,384156.0
1291,Africa,Djibouti,1997,gdpPercap,1895.016984
2995,Africa,Djibouti,1997,lifeExp,53.157
4699,Africa,Djibouti,1997,pop,417908.0
1433,Africa,Djibouti,2002,gdpPercap,1908.260867
3137,Africa,Djibouti,2002,lifeExp,53.373
4841,Africa,Djibouti,2002,pop,447416.0
1575,Africa,Djibouti,2007,gdpPercap,2082.481567
3279,Africa,Djibouti,2007,lifeExp,54.791
4983,Africa,Djibouti,2007,pop,496374.0
14,Africa,Egypt,1952,gdpPercap,1418.822445
1718,Africa,Egypt,1952,lifeExp,41.893
3422,Africa,Egypt,1952,pop,22223309.0
156,Africa,Egypt,1957,gdpPercap,1458.915272
1860,Africa,Egypt,1957,lifeExp,44.444
3564,Africa,Egypt,1957,pop,25009741.0
298,Africa,Egypt,1962,gdpPercap,1693.335853
2002,Africa,Egypt,1962,lifeExp,46.992
3706,Africa,Egypt,1962,pop,28173309.0
440,Africa,Egypt,1967,gdpPercap,1814.880728
2144,Africa,Egypt,1967,lifeExp,49.293
3848,Africa,Egypt,1967,pop,31681188.0
582,Africa,Egypt,1972,gdpPercap,2024.008147
2286,Africa,Egypt,1972,lifeExp,51.137
3990,Africa,Egypt,1972,pop,34807417.0
724,Africa,Egypt,1977,gdpPercap,2785.493582
2428,Africa,Egypt,1977,lifeExp,53.319
4132,Africa,Egypt,1977,pop,38783863.0
